          Q2           xp         beta           mx   iData         Data      ErrData       Theory ErrTheoFunc(ASAbsAvTot)       ErrTot        Ratio 
        11.5       0.0005         0.57      2.94541       0       0.0448   0.00999301   0.00948792                       0   0.00999301      4.72179 
        11.5       0.0005        0.699      2.22533       1        0.064    0.0160839   0.00322909                       0    0.0160839      19.8198 
        11.5        0.003        0.089      10.8496       2       0.0219   0.00357628    0.0592408                       0   0.00357628     0.369678 
        11.5        0.003        0.101      10.1174       3        0.019   0.00237477     0.063468                       0   0.00237477     0.299363 
        11.5        0.003        0.117      9.31615       4        0.023   0.00251532    0.0656573                       0   0.00251532     0.350304 
        11.5        0.003        0.155      7.91793       5       0.0251   0.00230004    0.0650587                       0   0.00230004     0.385805 
        11.5        0.003        0.244      5.96918       6       0.0262   0.00237988    0.0555906                       0   0.00237988     0.471303 
        11.5        0.003        0.361      4.51176       7       0.0317   0.00290033    0.0398145                       0   0.00290033     0.796192 
        11.5        0.003        0.631      2.59327       8       0.0403   0.00426914    0.0107479                       0   0.00426914      3.74958 
          44        0.003        0.341      9.22129       9       0.0202   0.00658037    0.0528748                       0   0.00658037     0.382034 
          44        0.003        0.386      8.36598      10       0.0355   0.00451618    0.0498039                       0   0.00451618     0.712796 
          44        0.003        0.446      7.39288      11       0.0327   0.00378078    0.0439582                       0   0.00378078     0.743888 
          44        0.003        0.592      5.50675      12       0.0387   0.00413963    0.0281167                       0   0.00413963       1.3764 
