          Q2           xp         beta           mx   iData         Data      ErrData       Theory ErrTheoFunc(ASAbsAvTot)       ErrTot        Ratio 
          46        0.035        0.178      14.5749      60     0.028509    0.0045173    0.0756027                       0    0.0045173      0.37709 
          46         0.05        0.178      14.5749      61     0.032708   0.00538064    0.0776492                       0   0.00538064     0.421228 
          46        0.075        0.178      14.5749      62     0.044421   0.00927176    0.0849998                       0   0.00927176     0.522601 
          46         0.09        0.178      14.5749      63     0.039117    0.0108588    0.0907969                       0    0.0108588     0.430819 
          46       0.0025        0.562      5.98753      64     0.043316   0.00618707    0.0339803                       0   0.00618707      1.27474 
          46       0.0085        0.562      5.98753      65     0.029835   0.00417978    0.0280987                       0   0.00417978      1.06179 
          46        0.016        0.562      5.98753      66     0.027404    0.0041772    0.0260631                       0    0.0041772      1.05145 
          46        0.025        0.562      5.98753      67     0.023426   0.00586235    0.0255615                       0   0.00586235     0.916457 
          46        0.035        0.562      5.98753      68     0.029835   0.00835849    0.0260402                       0   0.00835849      1.14573 
          46         0.05        0.562      5.98753      69      0.02652    0.0120667    0.0278164                       0    0.0120667     0.953395 
          80        0.035       0.0562      36.6536      70     0.050167    0.0173923     0.124368                       0    0.0173923     0.403375 
          80         0.05       0.0562      36.6536      71     0.051935    0.0143739      0.12828                       0    0.0143739     0.404857 
          80        0.075       0.0562      36.6536      72     0.047736    0.0206119     0.138876                       0    0.0206119     0.343732 
          80       0.0085        0.178      19.2208      73     0.045526    0.0127262    0.0918013                       0    0.0127262     0.495919 
          80        0.016        0.178      19.2208      74     0.029393   0.00713548    0.0874099                       0   0.00713548     0.336266 
          80        0.025        0.178      19.2208      75     0.032266   0.00729811    0.0842214                       0   0.00729811     0.383109 
          80        0.035        0.178      19.2208      76     0.035802   0.00932475    0.0833472                       0   0.00932475     0.429553 
          80         0.05        0.178      19.2208      77     0.032266   0.00896821    0.0849481                       0   0.00896821     0.379832 
          80        0.075        0.178      19.2208      78     0.040443    0.0188444    0.0917654                       0    0.0188444     0.440721 
          80       0.0085        0.562      7.89612      79     0.025636   0.00561639    0.0315103                       0   0.00561639     0.813575 
          80        0.016        0.562      7.89612      80      0.01989   0.00540426    0.0290886                       0   0.00540426     0.683772 
          80        0.025        0.562      7.89612      81     0.022984   0.00743695    0.0282857                       0   0.00743695     0.812567 
          80        0.035        0.562      7.89612      82     0.024089    0.0108888    0.0285126                       0    0.0108888     0.844854 
         200         0.05       0.0562      57.9545      83     0.035802    0.0174588     0.139747                       0    0.0174588     0.256191 
         200        0.075       0.0562      57.9545      84     0.063648    0.0409655      0.15661                       0    0.0409655      0.40641 
         200        0.016        0.178      30.3907      85     0.032045    0.0116307    0.0924909                       0    0.0116307     0.346467 
         200        0.025        0.178      30.3907      86     0.043979    0.0129167    0.0935671                       0    0.0129167     0.470026 
         200        0.035        0.178      30.3907      87     0.037349    0.0148262    0.0933525                       0    0.0148262     0.400085 
         200         0.05        0.178      30.3907      88     0.051935    0.0188618    0.0948191                       0    0.0188618     0.547727 
         200        0.075        0.178      30.3907      89     0.046189    0.0284113     0.101084                       0    0.0284113     0.456938 
         200       0.0085        0.562      12.4849      90     0.024089   0.00869132    0.0345469                       0   0.00869132     0.697283 
         200        0.016        0.562      12.4849      91     0.020553   0.00853771    0.0320341                       0   0.00853771     0.641598 
         200        0.025        0.562      12.4849      92     0.016354   0.00804992    0.0309527                       0   0.00804992     0.528354 
         200        0.035        0.562      12.4849      93     0.034918    0.0205146    0.0309062                       0    0.0205146      1.12981 
         200         0.05        0.562      12.4849      94     0.033371    0.0168694    0.0320049                       0    0.0168694      1.04269 
         200        0.075        0.562      12.4849      95     0.050388    0.0437681    0.0354951                       0    0.0437681      1.41957 
