#-*-sh-*-
# 
# H1 HERA-I+HERA-II diffractive DIS data
# 

##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "H1-ZEUS-Comb-2012"  # A unique alpos name 
Description                    	"H1 and ZEUS Combined 2012"
Reference                       "Eur Phys J C (2012) 72-2175" 
arXiv                           1207.4864
Inspire                         1123363
Title                           "Combined inclusive diffractive cross sections measured with forward proton spectrometers in deep inelastic ep scattering at HERA"



########################################################## 
#  Theory function settings 
##########################################################  
TheoryFunction                      ApfelxxDDISCS #ApfelDDISCS #ApfelxxDDISCS  #maral


########################################################## 
#  theory parameters, specific to this dataset 
#  not specified parameters are taken from default as
#  specified in the global steering file                                      
##########################################################          
sqrt-s                           318.       # sqrt-s only needed if y is not given in table
e-charge                         -1.
e-polarity                       0.
IsReducedCS                      true
IsNC                             true


##########################################################          
#
#   Data table
#
##########################################################   

#   ColumnType = 4*'Bin','Sigma',6*'Error'
#   ColumnName ='xpom,Q2,Beta,MX,Sigma_reduced,stat,uncor,cor,exp,proc,tot'



Data {{
"xp"	"Q2"	"beta"	"mx"	       "Sigma"	     "dstat" "duncor"	"dcor"	"dexp"	"dproc"	"dtot"
0.075	8.8	0.0018	69.857633	0.063648	12	0	6.2	13	1.5	13
0.025	8.8	0.0056	39.53009703	0.033592	5	0.8	5.1	7.2	2	7.5
0.035	8.8	0.0056	39.53009703	0.037791	5.1	1.2	4.9	7.2	1.7	7.4
0.05	8.8	0.0056	39.53009703	0.043537	4.1	1.2	4.6	6.3	1.6	6.5
0.075	8.8	0.0056	39.53009703	0.046852	5.9	1.1	4.8	7.7	3.8	8.6
0.09	8.8	0.0056	39.53009703	0.062101	9.6	4.4	5	12	5.7	13
0.0085	8.8	0.0178	22.03592572	0.028288	4.2	0.9	5.1	6.7	4	7.8
0.016	8.8	0.0178	22.03592572	0.027404	3.1	0.6	4.9	5.8	1.5	6
0.025	8.8	0.0178	22.03592572	0.029393	3.4	0.6	4.8	5.9	1.5	6.1
0.035	8.8	0.0178	22.03592572	0.02873		4.5	0.5	4.8	6.6	1.4	6.8
0.05	8.8	0.0178	22.03592572	0.035139	3.8	1	4.6	6.1	1.5	6.3
0.075	8.8	0.0178	22.03592572	0.035802	5.6	1.7	4.8	7.6	2.3	8
0.09	8.8	0.0178	22.03592572	0.04862		9.5	5.9	5	12	2.7	13
0.0025	8.8	0.0562	12.15662905	0.027625	3.4	0.4	5	6.1	3.8	7.1
0.0085	8.8	0.0562	12.15662905	0.023426	3.2	0.6	5	6	2	6.3
0.016	8.8	0.0562	12.15662905	0.023868	2.9	0.2	5	5.8	2.7	6.4
0.025	8.8	0.0562	12.15662905	0.021658	3.6	0.5	5	6.2	2.5	6.7
0.035	8.8	0.0562	12.15662905	0.024089	5.2	0	4.9	7.2	2.1	7.5
0.05	8.8	0.0562	12.15662905	0.031824	5.1	1.1	5.1	7.3	2.4	7.7
0.075	8.8	0.0562	12.15662905	0.03094		11	4.3	4.6	12	1.7	13
0.0009	8.8	0.178	6.374809977	0.039117	7.7	2.7	5	9.6	1.6	9.7
0.0025	8.8	0.178	6.374809977	0.028509	2.3	0.4	5.1	5.6	2.5	6.1
0.0085	8.8	0.178	6.374809977	0.022984	2.6	0.4	4.6	5.3	2.7	5.9
0.016	8.8	0.178	6.374809977	0.01989		3.9	0.7	5.3	6.6	2.6	7.1
0.025	8.8	0.178	6.374809977	0.021658	14	14	4.9	21	1.9	21
0.035	8.8	0.178	6.374809977	0.022763	17	11	4.9	21	2.3	21
0.05	8.8	0.178	6.374809977	0.025636	12	8.3	4.5	15	1.8	16
0.0003	8.8	0.562	2.618847645	0.05525		7.1	4.2	4.4	9.3	8.9	13
0.0009	8.8	0.562	2.618847645	0.045747	5.6	3.5	4.4	7.9	6.7	10
0.0025	8.8	0.562	2.618847645	0.036686	1.6	0.1	6.1	6.3	8.3	10
0.0085	8.8	0.562	2.618847645	0.031382	8.5	4.3	4.3	10	8	13
0.016	8.8	0.562	2.618847645	0.022542	17	13	4.4	22	2.3	22
0.05	15.3	0.0056	52.12334273	0.054145	6.7	2.2	4.9	8.6	1.1	8.7
0.075	15.3	0.0056	52.12334273	0.065416	10	0	5.7	12	1.6	12
0.016	15.3	0.0178	29.05599012	0.038896	4.8	0.7	5	7	2.4	7.4
0.025	15.3	0.0178	29.05599012	0.036244	4.4	0.7	4.8	6.6	2.4	7
0.035	15.3	0.0178	29.05599012	0.036465	5.7	1.1	4.7	7.5	1.4	7.6
0.05	15.3	0.0178	29.05599012	0.038896	4.9	1.4	4.8	7	2.2	7.4
0.075	15.3	0.0178	29.05599012	0.046631	6.7	2.1	4.8	8.5	2.6	8.9
0.09	15.3	0.0178	29.05599012	0.051714	10	1.6	4.8	11	3.3	12
0.0085	15.3	0.0562	16.02941025	0.029614	4.5	0	6	7.5	6.1	9.7
0.016	15.3	0.0562	16.02941025	0.026962	3.9	0.3	4.9	6.3	2.5	6.8
0.025	15.3	0.0562	16.02941025	0.024973	4.5	0.3	4.8	6.6	1	6.7
